Symbol,Company,Industry,Sector
UBL,United Breweries Ltd.,CONSUMER GOODS,Consumer Goods
MCDOWELL-N,United Spirits Ltd.,CONSUMER GOODS,Consumer Goods
VGUARD,V-Guard Industries Ltd.,CONSUMER GOODS,Consumer Goods
VMART,V-Mart Retail Ltd.,CONSUMER GOODS,Consumer Goods
VIPIND,V.I.P. Industries Ltd.,CONSUMER GOODS,Consumer Goods
VRLLOG,VRL Logistics Ltd.,SERVICES,Services
VSTIND,VST Industries Ltd.,CONSUMER GOODS,Consumer Goods
VBL,Varun Beverages Ltd.,CONSUMER GOODS,Consumer Goods
VEDL,Vedanta Ltd.,METALS,Metals & Mining
VINATIORGA,Vinati Organics Ltd.,CHEMICALS,Chemicals
IDEA,Vodafone Idea Ltd.,TELECOM,Telecom
VOLTAS,Voltas Ltd.,CONSUMER GOODS,Consumer Goods
WELCORP,Welspun Corp Ltd.,METALS,Metals & Mining
WELSPUNIND,Welspun India Ltd.,TEXTILES,Textiles
WHIRLPOOL,Whirlpool of India Ltd.,CONSUMER GOODS,Consumer Goods
WIPRO,Wipro Ltd.,IT,Information Technology
WOCKPHARMA,Wockhardt Ltd.,PHARMA,Healthcare
YESBANK,Yes Bank Ltd.,FINANCIAL SERVICES,Financial Services
ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,Media
ZENSARTECH,Zensar Technologies Ltd.,IT,Information Technology
ZYDUSWELL,Zydus Wellness Ltd.,CONSUMER GOODS,Consumer Goods
ECLERX,eClerx Services Ltd.,IT,Information Technology
